,country,beer,spirit,wine,liters,mL,continent,volume,volume_2,liters_rounded
0,Afghanistan,0,0,0,0.0,0,AS,low,low,0.0
1,Albania,89,132,54,4.9,4900,EU,large,large,5.0
2,Algeria,25,0,14,0.7,700,AF,low,low,1.0
3,Andorra,245,138,312,12.4,12400,EU,large,very large,12.0
4,Angola,217,57,45,5.9,5900,AF,large,large,6.0
5,Antigua & Barbuda,102,128,45,4.9,4900,,large,large,5.0
6,Argentina,193,25,221,8.3,8300,SA,large,large,8.0
7,Armenia,21,179,11,3.8,3800,EU,low,low,4.0
8,Australia,261,72,212,10.4,10400,OC,large,very large,10.0
9,Austria,279,75,191,9.7,9700,EU,large,large,10.0
10,Azerbaijan,21,46,5,1.3,1300,EU,low,low,1.0
11,Bahamas,122,176,51,6.3,6300,,large,large,6.0
12,Bahrain,42,63,7,2.0,2000,AS,low,low,2.0
13,Bangladesh,0,0,0,0.0,0,AS,low,low,0.0
14,Barbados,143,173,36,6.3,6300,,large,large,6.0
15,Belarus,142,373,42,14.4,14400,EU,large,very large,14.0
16,Belgium,295,84,212,10.5,10500,EU,large,very large,10.0
17,Belize,263,114,8,6.8,6800,,large,large,7.0
18,Benin,34,4,13,1.1,1100,AF,low,low,1.0
19,Bhutan,23,0,0,0.4,400,AS,low,low,0.0
20,Bolivia,167,41,8,3.8,3800,SA,low,low,4.0
21,Bosnia-Herzegovina,76,173,8,4.6,4600,EU,large,large,5.0
22,Botswana,173,35,35,5.4,5400,AF,large,large,5.0
23,Brazil,245,145,16,7.2,7200,SA,large,large,7.0
24,Brunei,31,2,1,0.6,600,AS,low,low,1.0
25,Bulgaria,231,252,94,10.3,10300,EU,large,very large,10.0
26,Burkina Faso,25,7,7,4.3,4300,AF,large,large,4.0
27,Burundi,88,0,0,6.3,6300,AF,large,large,6.0
28,Cote d'Ivoire,37,1,7,4.0,4000,AF,low,low,4.0
29,Cabo Verde,144,56,16,4.0,4000,AF,low,low,4.0
30,Cambodia,57,65,1,2.2,2200,AS,low,low,2.0
31,Cameroon,147,1,4,5.8,5800,AF,large,large,6.0
32,Canada,240,122,100,8.2,8200,,large,large,8.0
33,Central African Republic,17,2,1,1.8,1800,AF,low,low,2.0
34,Chad,15,1,1,0.4,400,AF,low,low,0.0
35,Chile,130,124,172,7.6,7600,SA,large,large,8.0
36,China,79,192,8,5.0,5000,AS,large,large,5.0
37,Colombia,159,76,3,4.2,4200,SA,low,low,4.0
38,Comoros,1,3,1,0.1,100,AF,low,low,0.0
39,Congo,76,1,9,1.7,1700,AF,low,low,2.0
40,Cook Islands,0,254,74,5.9,5900,OC,large,large,6.0
41,Costa Rica,149,87,11,4.4,4400,,large,large,4.0
42,Croatia,230,87,254,10.2,10200,EU,large,very large,10.0
43,Cuba,93,137,5,4.2,4200,,low,low,4.0
44,Cyprus,192,154,113,8.2,8200,EU,large,large,8.0
45,Czech Republic,361,170,134,11.8,11800,EU,large,very large,12.0
46,North Korea,0,0,0,0.0,0,AS,low,low,0.0
47,DR Congo,32,3,1,2.3,2300,AF,low,low,2.0
48,Denmark,224,81,278,10.4,10400,EU,large,very large,10.0
49,Djibouti,15,44,3,1.1,1100,AF,low,low,1.0
50,Dominica,52,286,26,6.6,6600,,large,large,7.0
